a1,a2,a3,a4,a5,a6,a7,a8,a9
2,3,1,1,2,1,0,25,0
2,4,1,1,1,4,0,46,6
2,2,1,1,2,1,0,26,3
2,2,1,0,3,2,0,38,1
1,2,1,1,1,3,0,47,3
1,3,1,1,2,3,1,41,10
2,3,1,0,2,3,0,41,1
4,4,1,1,2,1,0,28,5
2,2,1,1,3,1,0,17,3
2,3,1,1,2,1,0,27,5
1,2,1,1,3,1,1,27,4
2,3,1,0,2,2,0,19,0
2,4,1,0,3,2,0,27,3
4,3,1,1,2,3,0,26,4
2,4,1,1,3,3,0,23,2
3,3,1,1,3,2,0,40,3
4,4,1,1,1,1,0,22,0
3,4,1,0,1,3,0,44,4
2,3,1,1,3,1,0,29,2
2,3,1,1,3,1,0,26,3
4,4,1,0,3,3,0,45,1
3,3,1,0,2,3,0,32,7
4,4,1,1,1,4,0,21,1
2,2,1,1,3,3,0,31,4
3,4,1,1,1,3,0,21,0
4,4,1,1,1,4,0,37,1
4,4,0,0,3,3,0,34,3
3,4,1,1,1,3,0,44,1
4,3,1,1,2,3,0,49,5
2,3,1,1,3,3,0,26,2
1,2,1,1,2,4,1,38,1
2,3,1,1,2,3,0,36,5
3,4,1,1,3,3,0,26,2
2,3,0,1,3,2,0,20,1
2,1,1,0,3,2,0,44,3
3,4,1,1,1,2,1,31,2
4,4,1,1,1,3,0,45,1
2,3,1,1,3,2,1,36,2
1,3,1,0,2,2,1,43,2
3,4,1,1,1,3,0,25,0
3,4,1,1,3,1,0,48,3
4,4,0,0,1,3,0,30,0
1,2,1,1,3,1,0,48,8
3,4,1,1,3,1,1,28,1
4,4,1,1,1,3,0,26,1
3,3,1,0,2,4,0,26,3
4,4,1,1,3,3,0,24,2
3,3,1,1,2,2,0,21,2
4,4,0,1,3,1,0,30,2
4,4,1,1,1,4,0,20,1
4,4,1,1,1,3,0,33,2
4,4,0,0,3,3,0,30,0
4,4,1,0,1,3,0,47,1
4,4,0,1,3,3,0,35,2
2,4,1,1,3,4,0,30,2
4,4,1,1,1,4,0,33,3
4,4,1,1,2,3,0,45,4
4,4,1,1,1,4,0,41,2
4,4,1,0,1,3,0,32,1
4,4,1,1,1,4,0,43,5
4,4,1,1,2,4,0,44,3
1,3,1,1,3,2,0,21,4
3,4,1,1,1,4,1,44,2
4,4,1,1,2,4,0,23,2
1,2,1,1,2,2,0,47,4
1,1,1,1,2,3,1,47,7
4,4,1,0,2,4,0,35,2
2,4,1,1,3,2,0,32,4
1,4,1,1,1,2,1,45,5
2,2,1,1,3,1,0,22,2
1,1,1,1,2,1,1,23,3
4,4,1,0,1,4,0,30,0
1,3,1,1,2,3,0,44,0
3,3,1,0,3,3,0,40,1
4,4,1,1,2,3,0,34,4
3,4,1,1,2,4,0,37,1
3,4,1,1,1,4,0,49,5
4,4,1,1,1,4,0,26,1
4,4,1,1,2,4,0,22,0
3,4,1,0,2,4,0,20,0
4,4,1,1,1,4,0,47,4
2,2,1,0,3,1,0,49,8
2,4,1,1,2,4,0,22,1
3,3,1,1,3,4,0,22,2
3,2,1,1,3,2,0,25,2
2,4,1,0,3,4,0,32,0
4,4,0,1,1,3,0,28,0
2,4,1,0,1,4,0,30,4
2,4,1,0,2,4,0,45,2
2,1,1,0,2,4,0,49,10
4,4,1,0,1,4,0,34,2
2,4,1,1,2,2,0,25,1
1,3,1,1,3,3,0,42,12
2,1,1,0,4,3,0,48,3
3,4,1,0,2,2,0,35,5
2,3,1,1,3,4,0,33,1
2,4,1,1,3,2,0,20,0
2,3,1,1,3,1,1,36,4
3,3,1,1,3,2,0,19,2
3,2,1,1,3,2,0,27,3
1,2,1,1,4,1,0,30,4
3,4,1,0,3,2,0,31,3
1,1,1,1,4,1,1,44,11
3,3,1,1,3,3,0,24,2
3,4,1,0,3,1,0,18,0
1,2,1,1,3,3,1,45,6
2,2,1,0,3,1,0,25,3
3,4,1,1,2,4,0,36,6
1,1,1,1,2,2,0,30,5
2,4,1,1,3,3,0,32,2
1,4,0,1,2,2,1,42,11
2,4,1,1,3,3,0,22,0
2,4,1,0,2,4,0,36,2
2,3,1,1,3,3,0,27,2
3,4,1,1,1,2,0,40,1
2,3,1,1,3,1,0,22,2
2,4,1,1,3,1,0,26,0
3,4,1,0,2,3,0,31,0
4,4,1,1,1,4,0,32,1
2,3,1,0,3,2,0,34,3
3,3,0,1,3,4,0,40,1
1,2,1,0,3,3,0,45,1
3,4,1,1,3,2,0,26,3
1,3,1,1,3,2,0,48,5
1,3,1,1,3,1,0,43,8
3,4,1,0,2,2,0,27,2
3,2,1,1,3,3,0,42,1
3,2,1,0,2,3,1,34,8
3,2,1,1,2,2,1,32,4
3,3,1,0,2,3,0,31,2
2,3,1,1,3,3,0,22,1
3,4,1,1,3,3,0,27,0
1,2,1,1,2,2,1,37,2
1,2,1,1,2,4,0,22,0
4,4,1,1,1,4,0,47,4
4,4,1,0,1,3,0,32,4
3,3,1,1,1,4,0,37,2
1,3,1,1,2,3,1,45,1
1,4,1,1,3,3,0,47,8
3,4,1,1,3,2,0,28,0
1,3,1,1,3,4,1,48,4
2,4,1,1,1,3,0,26,1
3,4,1,0,3,1,0,21,0
2,3,1,1,2,4,0,20,1
1,1,1,0,3,1,1,39,5
2,3,1,0,3,4,0,27,1
2,3,1,0,3,2,0,37,5
4,4,1,1,3,3,0,24,1
3,3,1,1,3,3,0,39,6
3,3,1,1,2,3,0,20,1
3,4,1,1,2,3,0,19,1
3,3,1,1,2,2,0,40,4
1,4,1,1,3,3,0,41,4
4,4,1,1,1,3,0,22,2
3,4,1,1,1,4,0,32,4
4,4,0,1,1,4,0,34,2
4,4,1,0,1,3,0,34,2
4,4,1,1,1,4,0,23,2
4,4,1,1,1,2,0,27,1
3,2,1,0,2,2,1,46,11
4,4,0,1,1,2,0,34,3
4,4,1,1,3,3,0,33,5
3,3,1,1,3,2,0,25,1
4,4,1,0,1,4,0,26,1
1,3,1,1,3,3,1,48,4
4,4,1,1,3,3,0,36,2
3,4,0,1,2,4,0,38,2
1,2,1,1,3,4,0,44,7
2,2,1,0,3,2,0,44,1
3,3,0,1,3,4,0,39,1
1,2,1,0,3,2,0,47,7
1,3,1,0,3,2,0,43,5
3,3,1,0,2,4,0,29,3
3,3,1,1,2,2,0,22,0
2,4,1,1,3,2,0,31,5
4,4,1,1,1,3,0,22,0
3,4,1,1,2,4,0,45,6
3,4,1,0,3,2,0,42,10
3,3,1,1,3,1,0,38,7
1,1,1,0,3,1,0,47,6
4,4,1,1,1,4,0,30,2
3,4,1,1,3,4,0,28,1
3,4,1,1,2,1,0,25,1
2,4,0,1,2,3,0,49,6
3,4,1,0,2,3,0,23,2
3,4,0,1,2,3,0,35,1
2,1,0,1,2,4,0,47,5
2,3,1,1,2,4,0,35,0
3,4,1,1,3,4,0,44,6
4,4,1,1,2,4,0,48,3
2,3,1,0,3,3,0,43,6
2,4,1,1,3,1,0,21,2
4,4,1,1,1,4,0,22,0
3,3,1,1,3,4,0,41,5
2,4,1,0,4,4,1,29,2
4,4,0,1,2,4,0,44,5
4,4,1,0,1,4,0,22,0
2,4,1,1,3,3,0,23,4
2,1,1,1,3,2,0,22,0
1,3,1,1,2,2,1,35,0
4,4,1,1,2,2,0,24,1
4,4,1,1,1,4,0,36,4
1,2,1,1,2,4,0,47,2
4,4,1,1,3,4,0,40,3
4,4,1,1,1,3,0,29,1
3,4,1,1,1,4,0,49,6
3,4,1,1,1,4,0,49,9
4,4,1,1,1,4,0,47,2
4,4,0,1,1,4,0,28,3
4,4,1,1,1,4,0,26,1
1,2,1,1,2,4,0,29,7
4,2,1,0,2,2,0,29,0
3,3,1,1,3,4,0,25,1
2,4,1,1,3,4,0,24,2
4,4,1,0,2,4,0,23,1
4,4,1,0,3,3,0,23,2
1,2,1,1,2,4,0,44,2
3,4,1,1,1,4,0,39,6
3,3,1,1,2,2,0,21,0
3,4,1,1,2,3,0,22,2
3,4,1,1,2,3,0,47,3
3,3,1,0,2,4,0,36,2
1,4,1,0,3,3,1,25,2
4,4,1,1,3,4,0,40,2
2,2,0,0,3,3,0,36,0
2,3,0,0,2,4,0,37,5
1,4,1,0,2,3,0,28,2
3,3,1,0,3,4,0,30,5
3,4,1,1,3,3,0,16,1
2,3,0,1,2,4,0,32,4
4,4,0,1,3,4,0,40,3
1,1,1,0,3,4,0,40,2
3,4,0,1,1,4,0,45,2
1,3,1,0,3,4,1,21,0
4,4,0,1,1,3,0,28,1
4,4,0,1,2,3,0,25,1
1,3,1,1,3,3,1,44,4
4,4,0,1,3,4,0,35,2
4,4,1,1,3,4,0,49,4
3,4,0,1,3,4,0,39,1
3,4,0,1,2,4,0,32,1
1,2,1,0,4,4,0,35,0
1,2,1,0,3,4,0,21,1
4,4,0,1,1,4,0,47,1
4,4,0,1,3,4,0,27,1
2,2,1,1,2,2,1,31,8
4,3,0,0,3,3,0,34,0
4,4,1,0,2,4,0,30,3
4,4,1,0,2,4,0,25,0
3,4,1,1,2,1,0,28,3
2,3,1,0,3,2,0,30,4
3,3,1,1,4,3,0,42,8
4,4,0,1,2,4,0,23,0
3,4,0,1,3,4,0,45,3
4,4,1,1,3,3,0,21,1
4,4,0,1,2,4,0,28,1
4,4,0,0,3,4,0,33,1
1,2,1,1,3,2,1,32,4
2,2,1,1,3,3,0,25,3
3,3,1,1,3,1,0,25,1
2,2,1,1,3,1,0,19,2
1,2,1,1,3,1,1,40,6
2,2,1,1,3,1,1,24,2
2,2,1,1,2,1,0,32,1
2,3,1,1,3,2,0,35,8
2,2,1,0,3,2,1,27,1
2,4,1,1,1,4,0,23,2
2,4,1,1,3,4,0,22,4
2,3,1,1,1,2,0,49,0
2,3,1,1,2,4,0,25,0
3,4,1,1,3,1,0,18,1
3,3,1,1,2,4,0,43,4
1,3,1,1,3,4,0,37,0
2,3,1,0,2,4,0,30,2
3,2,1,1,2,2,0,29,0
2,3,1,1,3,4,0,20,3
3,3,1,0,2,4,0,42,3
4,4,1,1,2,3,0,23,1
2,3,1,0,3,3,0,34,7
3,3,1,1,3,3,0,23,6
3,3,1,1,1,4,0,38,5
2,3,1,1,2,3,0,37,4
2,3,1,1,3,2,0,17,1
3,4,1,1,1,4,0,39,3
1,3,1,1,3,3,1,49,0
3,3,1,1,2,2,0,23,2
3,3,1,1,2,2,1,40,3
2,4,1,1,2,3,0,32,5
2,3,1,1,2,3,0,18,1
1,2,1,1,3,3,1,46,8
3,3,1,1,2,2,0,37,6
2,4,0,1,2,2,0,38,5
2,3,0,0,3,3,0,37,2
2,3,1,0,2,1,0,25,1
2,4,1,1,3,3,0,38,5
4,4,1,0,1,4,0,39,2
4,4,1,0,1,4,1,44,3
4,4,0,1,3,4,0,19,0
2,4,1,0,3,4,0,28,1
2,3,1,1,3,4,0,20,1
4,4,1,0,3,3,0,33,0
4,4,1,1,3,4,0,33,5
1,4,1,1,1,4,0,47,6
3,3,1,1,3,4,0,25,0
4,4,1,0,2,4,0,29,0
4,4,0,1,1,4,0,37,2
1,3,1,1,2,4,0,49,6
1,1,1,0,2,2,1,48,8
2,2,1,1,2,2,0,19,0
1,2,1,1,2,1,1,46,3
1,2,1,1,3,1,1,39,2
3,4,1,1,1,4,0,30,5
2,2,1,1,2,2,0,40,8
1,2,1,1,3,4,1,43,1
3,4,1,0,1,3,0,29,4
3,3,1,1,3,3,0,23,2
2,2,1,1,2,4,0,24,3
3,3,1,1,2,4,0,47,2
3,3,1,0,2,2,0,35,2
3,3,1,1,2,4,0,19,1
2,3,1,0,2,4,0,45,4
2,4,1,1,3,4,0,42,2
1,1,1,1,3,4,0,47,1
2,2,1,1,3,1,0,25,2
2,3,1,1,3,4,0,20,3
3,3,1,1,3,4,0,33,6
4,3,1,1,1,4,0,46,5
4,4,1,1,1,4,0,35,4
4,4,1,0,1,4,0,26,2
3,3,1,0,1,3,0,36,5
3,4,1,1,1,3,0,37,3
2,4,1,1,3,3,0,44,4
4,4,1,1,1,4,0,32,2
2,4,1,1,3,4,0,25,6
2,3,1,1,3,4,0,42,7
4,4,0,0,1,4,0,30,2
4,4,1,1,1,4,0,39,4
1,1,1,1,3,4,0,26,2
2,4,1,1,3,4,0,30,3
4,4,0,0,1,2,0,38,4
4,4,1,1,1,2,0,23,1
3,4,1,1,3,4,0,18,1
3,4,1,1,2,3,0,25,3
4,4,1,0,3,3,0,37,2
3,4,1,1,3,2,0,20,1
4,4,1,1,1,4,0,45,7
2,1,1,0,3,3,0,28,2
2,2,1,1,2,3,0,33,3
2,3,1,1,3,3,0,28,2
2,4,1,0,3,4,0,30,1
4,4,1,1,2,4,0,32,4
4,3,1,0,2,4,0,48,7
4,4,1,0,1,4,0,46,2
4,4,0,0,1,4,0,32,2
4,4,1,1,1,4,0,49,10
2,2,1,0,3,4,0,33,6
4,4,1,1,1,4,0,39,3
4,4,0,0,1,4,0,35,5
4,4,0,1,1,3,0,36,3
3,4,1,1,2,4,0,20,1
4,4,1,1,3,4,0,23,1
2,4,1,1,1,3,0,26,2
3,3,1,1,3,1,0,25,1
4,4,1,1,1,4,0,31,1
4,4,1,1,2,4,0,36,2
3,3,1,0,3,4,0,32,2
4,4,1,1,1,4,0,36,3
4,4,1,1,1,4,0,40,3
4,4,1,1,1,4,0,46,4
4,4,0,1,1,4,0,42,8
4,4,1,0,1,4,0,39,4
4,4,1,1,1,4,0,34,2
4,4,1,1,1,4,0,36,3
4,4,1,1,1,4,0,37,3
4,4,0,1,1,4,0,36,4
4,4,1,1,1,4,0,38,2
3,3,0,0,2,4,0,27,1
4,3,1,1,1,4,0,37,8
1,4,1,0,4,2,1,24,1
2,4,1,1,1,4,0,42,8
4,4,0,0,4,4,0,31,3
2,3,1,1,3,3,0,34,2
4,4,1,1,3,3,0,34,4
4,4,0,0,1,4,0,36,4
4,4,1,1,1,4,0,47,8
4,4,1,1,1,4,0,34,3
4,4,0,1,1,3,0,44,6
4,4,1,1,1,4,0,21,1
4,4,1,1,1,3,0,42,6
4,4,1,0,2,3,0,44,4
4,4,1,1,2,3,0,19,1
1,3,1,0,2,3,1,35,7
4,4,1,1,3,2,0,24,1
3,4,0,1,1,3,0,32,7
3,3,1,0,3,3,0,31,2
3,4,1,0,2,3,0,47,11
4,4,1,0,3,3,0,38,6
4,4,1,1,1,3,0,40,4
3,3,1,1,3,2,0,35,4
3,4,1,1,3,4,0,26,3
4,3,1,1,3,3,0,23,3
4,4,0,0,1,4,0,40,6
4,4,1,1,1,4,0,37,3
4,4,1,1,2,4,0,39,5
4,4,1,1,2,4,0,25,2
4,4,0,1,1,4,0,48,4
4,4,1,1,1,4,0,31,3
4,4,0,1,2,4,0,26,1
4,4,1,0,1,4,0,44,5
4,4,1,0,2,4,0,29,1
2,1,1,1,2,1,0,36,6
4,4,1,0,1,3,0,29,2
2,3,1,1,3,4,0,37,7
3,3,1,1,1,2,0,28,3
2,3,1,1,1,2,0,40,6
4,4,1,1,1,4,0,33,4
4,4,1,1,1,2,0,22,1
3,4,1,0,1,3,1,35,5
4,4,0,1,3,3,0,32,3
4,4,1,0,1,3,0,35,5
4,4,1,1,1,4,0,29,2
3,3,1,0,3,4,0,23,2
4,4,1,0,1,4,0,35,2
4,4,1,0,2,4,0,36,3
4,4,1,0,1,4,0,32,2
4,1,1,1,3,3,0,30,4
4,4,0,1,2,4,0,36,4
4,4,1,1,3,4,0,33,3
3,4,0,1,3,3,0,33,5
2,4,1,1,2,3,0,43,13
3,3,1,1,2,3,0,35,6
4,4,1,1,1,3,0,38,5
3,1,1,1,3,1,0,25,4
3,3,1,1,3,2,0,26,2
4,4,1,1,3,4,0,24,1
3,4,1,1,4,4,0,22,1
2,3,1,0,2,1,0,33,5
3,3,1,1,3,4,0,45,7
4,4,1,0,1,3,0,29,2
2,2,1,1,2,4,0,47,7
3,2,1,1,3,2,0,36,6
3,3,1,1,2,3,0,45,8
4,4,1,0,1,4,0,47,6
3,4,1,0,2,4,0,43,2
4,4,1,1,3,2,0,44,7
2,4,1,1,3,3,0,24,2
4,4,1,0,1,3,0,28,2
4,4,1,1,3,4,0,34,5
3,4,1,1,1,3,0,31,4
4,4,1,1,1,4,0,27,3
3,3,1,0,3,4,0,27,1
4,4,1,0,1,3,0,26,1
3,4,1,1,2,2,0,36,7
4,4,0,1,3,3,0,35,4
4,4,1,1,3,3,0,38,6
4,4,1,1,2,4,0,44,7
4,4,1,1,1,4,0,25,1
4,4,0,1,1,3,0,25,2
4,4,1,1,1,4,0,41,4
3,4,1,1,1,3,0,41,5
4,4,1,0,1,4,0,24,1
4,4,1,1,3,3,0,33,3
4,4,1,0,3,3,0,29,3
4,4,1,0,1,4,0,47,4
4,4,1,1,1,3,0,28,4
2,2,1,1,3,2,0,21,1
3,3,1,0,3,3,0,32,6
3,4,1,1,1,4,0,30,2
4,4,1,1,3,4,0,37,5
4,3,1,0,3,2,0,29,4
4,4,1,0,1,4,0,38,3
3,3,1,1,1,4,0,49,11
3,3,1,1,1,4,0,41,5
3,4,1,1,3,2,1,43,5
1,1,1,1,3,3,0,47,10
4,4,1,1,1,3,0,22,1
4,4,0,0,1,4,0,27,1
3,4,0,1,2,3,0,34,2
3,3,1,1,2,4,0,42,4
4,4,0,0,1,4,0,39,3
4,4,0,1,2,4,0,36,3
4,4,1,1,2,1,0,21,1
3,4,0,0,2,4,0,36,4
2,3,1,0,4,4,0,25,1
4,4,0,0,2,4,0,41,4
4,4,0,0,2,4,0,32,4
4,4,0,0,2,4,0,41,4
4,4,0,1,1,4,0,43,3
4,4,1,1,2,3,0,35,3
4,4,1,0,1,3,0,24,2
4,4,1,1,1,4,0,43,6
4,4,0,1,1,4,0,48,7
4,4,1,1,1,3,0,28,2
4,4,1,1,1,4,0,24,1
4,4,1,0,1,4,0,42,3
4,4,1,1,1,4,0,39,3
4,4,1,1,1,4,0,24,1
4,3,1,1,2,4,0,33,5
4,4,1,1,3,4,0,29,2
4,4,1,1,1,4,0,44,5
4,4,1,1,2,4,0,17,1
3,4,1,1,2,2,0,35,3
3,4,1,1,1,2,0,32,5
4,4,1,0,1,3,0,27,2
4,4,1,1,1,4,0,44,4
4,4,1,1,1,4,0,42,5
4,4,1,1,1,3,0,40,6
4,4,1,1,1,4,0,44,3
4,4,1,1,2,4,0,33,5
2,4,0,0,3,4,1,35,3
4,2,0,1,1,3,0,31,2
4,4,0,1,3,4,0,37,3
4,4,0,1,2,4,0,45,3
4,4,0,1,1,4,0,26,2
3,4,0,1,3,4,0,40,2
4,4,0,1,2,4,0,30,1
3,4,0,0,3,4,0,36,3
3,4,0,1,2,4,0,33,3
4,4,0,1,2,4,0,41,5
3,3,0,1,2,4,0,45,6
4,4,0,1,2,4,0,48,6
4,4,0,0,3,4,0,35,3
4,4,0,0,2,4,0,37,4
4,4,0,0,1,4,0,46,3
4,4,0,1,3,4,0,38,4
3,4,1,1,2,4,0,30,7
4,3,1,0,1,4,0,42,7
2,2,1,1,3,4,0,35,6
4,4,1,1,3,4,0,34,6
4,4,1,1,1,4,0,37,4
4,4,1,1,1,4,0,38,6
3,3,1,1,2,3,0,30,2
4,4,1,1,1,4,0,46,4
4,4,0,1,2,4,0,31,3
4,4,0,1,1,4,0,41,6
4,4,1,1,2,4,0,41,7
4,4,0,0,2,4,0,32,2
4,4,1,1,1,4,0,44,4
4,4,0,1,1,4,0,39,4
4,4,1,1,1,4,0,39,5
4,4,1,1,1,4,0,45,4
4,4,1,1,1,4,0,33,3
4,4,0,1,1,4,0,39,3
4,4,1,0,1,4,0,44,3
3,3,1,1,3,4,0,34,6
3,3,1,1,3,4,0,33,5
2,2,1,1,2,2,0,34,8
3,2,1,1,2,4,0,27,5
1,1,1,1,3,4,1,47,8
2,4,1,1,1,4,1,25,3
3,4,1,1,1,2,1,24,5
4,4,1,0,1,4,0,41,4
3,3,1,1,3,4,0,29,4
2,2,1,1,3,1,0,27,5
3,4,1,1,1,2,0,40,5
2,2,1,1,3,1,0,30,6
4,4,1,0,1,4,0,24,1
4,4,1,0,1,4,0,36,2
2,2,1,1,3,2,0,17,1
1,2,1,1,2,3,0,28,4
2,4,1,1,1,4,0,27,1
3,3,1,1,3,3,0,21,1
2,2,1,1,2,4,0,30,4
4,4,1,1,1,4,0,48,16
2,4,1,0,3,3,0,29,3
4,4,1,1,3,4,0,29,2
3,4,1,1,1,3,0,20,2
4,4,1,1,3,2,0,28,1
2,3,1,0,2,3,0,32,5
3,3,1,0,3,3,0,27,1
2,3,1,1,3,1,0,25,1
4,4,1,1,1,4,0,43,3
4,4,1,1,2,4,0,35,2
4,4,1,1,1,4,0,30,1
1,4,1,1,4,4,1,29,3
3,4,1,1,3,4,0,33,8
3,4,1,0,2,4,0,37,5
2,4,1,1,4,4,0,27,3
2,4,1,1,2,4,0,33,3
2,3,1,0,3,3,0,35,6
3,3,1,1,2,4,0,20,2
2,4,1,1,3,4,0,26,3
3,3,1,1,3,3,0,24,2
1,3,1,1,3,2,0,45,3
3,4,1,1,1,3,0,34,4
4,3,1,1,1,4,0,49,13
4,4,1,1,1,4,0,33,5
3,3,1,1,3,4,0,33,8
3,4,1,1,1,4,0,24,3
2,2,1,1,2,1,0,30,4
2,4,1,1,2,1,0,27,4
4,3,1,1,2,2,0,23,1
4,4,1,1,1,4,0,35,4
4,4,0,1,1,4,0,35,1
4,4,0,0,1,4,0,40,2
3,3,1,1,3,3,0,29,1
3,3,1,1,3,3,0,33,3
4,4,0,1,1,2,1,36,6
4,4,0,1,1,4,0,36,4
4,4,1,1,3,3,0,41,1
3,4,1,1,3,2,0,38,3
2,4,1,1,3,3,0,29,3
4,4,1,1,1,3,0,19,1
2,3,1,1,2,3,0,34,2
2,4,1,1,3,4,0,26,3
4,4,1,1,2,3,0,22,1
4,4,1,1,2,4,0,42,7
3,4,1,1,3,2,0,27,2
4,4,1,1,1,4,0,27,2
4,3,1,0,2,2,0,39,1
4,4,1,1,3,1,0,21,1
2,3,1,1,3,3,0,36,7
1,2,1,0,1,2,0,29,5
2,3,1,1,2,1,0,29,4
3,2,1,1,2,1,0,22,2
2,3,1,1,2,1,0,20,1
3,4,1,0,2,4,0,33,4
3,3,1,1,2,3,0,27,3
4,4,1,1,1,4,0,25,3
4,3,1,1,3,3,0,25,2
2,3,1,1,3,2,0,32,4
3,4,1,1,1,3,0,39,2
3,3,1,1,2,1,1,31,3
4,4,1,1,3,4,0,26,4
3,3,1,1,3,4,0,30,7
3,3,1,0,3,3,0,43,5
2,4,1,1,3,3,0,34,4
4,4,1,1,1,4,0,43,3
4,4,0,1,1,4,0,32,3
4,4,1,1,1,4,0,41,5
4,4,0,1,1,4,0,32,3
4,4,1,1,1,4,0,46,4
3,4,1,0,1,4,0,40,3
4,4,1,1,2,3,0,21,1
4,4,1,1,1,4,0,32,3
4,4,0,1,3,3,0,25,1
4,4,1,1,1,3,0,24,1
2,3,1,0,3,2,0,21,1
4,4,1,1,3,3,0,22,1
4,4,1,1,1,3,0,32,4
4,4,1,0,2,2,0,30,2
1,2,1,1,2,1,0,25,2
3,3,0,1,3,1,0,31,6
2,4,1,1,2,3,0,19,1
2,2,1,0,2,3,0,33,7
2,2,1,1,3,4,0,24,2
3,3,1,1,2,3,0,19,3
2,2,1,1,3,3,0,27,5
4,4,0,0,1,4,0,32,2
4,4,1,0,1,3,0,32,2
1,3,1,1,3,3,0,29,5
3,4,1,1,2,3,0,23,1
2,4,1,1,2,3,0,34,7
2,4,1,1,3,3,0,27,1
4,4,1,1,3,2,0,37,4
3,4,1,1,2,3,0,26,4
2,3,1,1,3,3,0,31,7
4,4,1,1,1,4,0,44,11
3,4,1,1,1,4,0,35,4
4,4,1,1,3,4,0,23,2
2,4,1,1,1,4,0,24,2
4,4,1,1,1,4,0,24,2
4,4,1,1,2,4,0,39,3
3,4,1,1,3,3,0,33,4
2,3,1,1,2,1,0,24,2
4,4,1,1,1,4,0,35,4
4,4,1,1,1,4,0,35,6
4,4,1,1,3,3,0,34,2
3,4,1,1,2,3,0,48,3
4,4,1,1,1,3,0,28,1
4,4,1,1,3,3,0,26,1
3,3,1,1,1,3,0,43,8
2,2,1,0,2,4,0,28,5
3,4,1,1,2,3,0,22,3
3,3,1,1,3,3,0,26,3
3,4,1,1,3,3,0,30,4
4,4,1,1,2,3,0,38,5
4,4,1,1,2,4,0,44,8
4,4,0,1,1,4,0,25,1
4,4,1,1,1,4,0,34,3
4,4,1,1,3,4,0,26,3
4,4,1,1,1,3,0,20,2
4,4,0,1,1,3,0,39,2
3,4,1,1,3,3,0,27,4
