a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16
n,?,?,?,?,?,?,?,?,?,?,?,?,y,?,?
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,?,y,n,n,y,y,y,n,y,n,n,n,n,y,?
n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
n,?,y,n,?,?,y,y,y,y,?,?,n,n,y,y
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
y,y,y,y,y,n,y,n,n,n,n,y,y,y,n,y
n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,?,?,y,y,y,n,n,n,y,n,y,y,y,?,y
n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
y,?,n,y,y,y,n,y,n,n,n,y,y,y,n,y
n,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,?,y,n,n,n,y,y,y,y,y,n,n,y,y,y
n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y
?,?,y,n,n,n,y,y,?,n,?,?,?,?,?,?
y,?,y,n,?,?,y,y,y,n,n,n,n,n,y,?
n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,?
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
n,?,y,n,n,y,y,y,y,y,n,n,n,y,y,y
n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
n,n,n,y,y,y,y,y,y,y,n,y,y,y,?,y
n,n,n,y,y,y,y,y,y,y,n,y,y,y,n,y
?,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
n,?,n,n,n,y,y,y,y,y,n,n,n,y,n,?
n,n,y,n,n,y,y,y,y,y,n,n,n,y,?,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,n,n,n,n,n,y,y,y,y,n,y,y,y,y,y
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
y,y,?,y,y,y,n,n,y,n,y,?,y,y,n,n
n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,n,y,y,y,n,?,n,n,y,y,y,y,n,n
y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
n,y,y,n,n,y,n,y,y,n,y,n,?,?,?,?
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,y,y,n,?,y,y,y,y,y,y,n,n,?,n,?
n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y
n,y,y,n,y,y,y,n,n,n,y,y,y,y,n,y
n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?
n,y,y,n,n,y,y,y,y,y,y,n,y,n,y,?
y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,?
y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
y,n,y,n,n,n,?,y,y,?,n,n,n,n,y,?
n,?,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y
n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
n,n,y,n,n,n,y,y,y,y,y,?,n,n,y,y
?,n,y,n,n,n,y,y,y,y,y,?,n,n,y,?
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,y
?,?,?,?,?,?,?,?,y,?,?,?,?,?,?,?
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y
n,y,y,n,n,n,y,y,y,y,y,n,n,n,y,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,?,n,y,y,y,y,y,n,n,n,y,?,y,?,?
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,?
n,y,n,y,y,y,n,?,n,y,n,y,y,y,n,?
n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,n,y,n,n,y,y,?,y,y,y,n,n,n,y,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,?
n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,?
n,?,y,y,y,y,n,n,n,y,n,n,n,y,n,y
n,n,y,n,n,n,y,y,y,y,y,n,?,n,y,?
y,y,n,n,n,n,y,y,?,n,y,n,n,n,y,?
n,n,y,n,n,n,y,y,y,n,n,n,n,y,y,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
y,?,n,y,y,y,y,n,n,y,n,y,y,y,n,y
n,n,y,n,n,n,y,y,y,n,n,?,n,n,y,y
y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
n,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,?
y,y,y,n,y,y,n,n,?,y,n,n,n,y,y,?
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,?,y,n,n,n,y,y,y,n,?,n,n,n,y,?
n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,?
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n
n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,?,y
n,y,n,y,y,y,n,n,n,n,n,y,y,?,n,y
n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,y,n,y,y,y,n,n,y,y,n,y,y,y,n,y
n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,?
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,?
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
y,y,y,n,n,n,y,y,?,y,n,n,n,n,y,?
n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
n,n,n,y,n,y,y,?,y,n,n,y,y,y,n,y
y,n,y,n,n,n,y,y,y,y,y,n,n,y,y,y
n,n,n,n,y,y,y,n,n,n,n,?,n,y,y,y
n,y,y,n,n,n,y,y,?,y,n,n,y,n,y,y
y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
n,n,y,n,y,n,y,y,y,n,n,n,n,y,?,y
n,y,n,y,y,y,?,n,n,n,n,?,y,y,n,n
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
y,n,y,n,n,n,y,y,?,n,y,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,y,n,n,y,y,y,y,n,n,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
n,n,n,y,y,n,n,n,n,n,n,y,n,y,?,y
n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
y,n,y,n,n,?,y,y,y,n,?,?,n,?,?,?
y,n,y,n,n,n,y,y,y,y,n,n,?,n,y,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,y,y,n,n,y,y,y,y,n,?,n,n,n,n,y
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,?
n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y
y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
n,n,y,n,y,y,n,n,n,n,?,n,y,y,n,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,y,n
n,n,y,y,y,y,y,y,n,y,n,n,n,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,n,y,n,n,n,y,y,y,y,n,n,n,y,n,y
y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,?
y,n,n,y,y,y,n,n,n,y,n,?,y,y,n,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,n,y,n,n,y,y,y,y,y,y,n,n,n,?,y
n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y
n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?
y,y,y,?,n,y,y,y,y,n,y,n,y,n,?,y
y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,?
y,n,y,n,?,y,?,y,y,y,n,n,y,y,n,y
y,n,y,n,n,y,y,y,y,y,n,?,n,y,n,y
y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,?
n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?
n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
y,y,y,n,n,y,y,y,y,y,n,n,?,n,y,?
n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
n,n,?,n,n,y,y,y,y,n,n,n,n,n,y,y
n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
n,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
n,y,y,y,y,y,y,?,n,n,n,n,?,?,y,?
n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
y,y,y,n,n,n,y,y,y,y,n,n,y,n,n,y
y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?
y,y,y,n,y,y,n,y,?,y,n,n,y,y,n,?
n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
n,y,n,n,y,y,n,n,?,n,n,y,y,y,n,y
y,y,n,y,n,n,y,y,y,n,y,n,n,y,n,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
y,?,y,n,n,y,y,y,y,y,n,n,n,n,y,?
n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,?,y,n,n,n,y,y,y,n,n,n,n,n,y,?
y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?
n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
n,y,y,n,n,y,y,y,?,n,y,y,n,n,y,y
n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,?
n,n,y,n,n,y,y,y,n,n,y,n,n,y,?,y
y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
n,n,n,y,y,y,n,n,n,y,y,y,n,y,n,y
n,?,y,?,n,y,y,y,y,y,y,n,?,?,y,y
n,y,y,n,y,?,y,n,n,y,y,n,y,n,y,y
n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
y,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?
n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
n,y,n,n,n,y,y,n,y,n,y,n,n,n,y,y
n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,?
n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y
y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,?
n,n,n,y,y,y,n,n,n,y,?,y,y,y,n,y
y,n,y,n,n,y,y,y,y,y,n,n,y,n,n,y
y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,?
y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,y
n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,?
y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,?
n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y
y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?
n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n
n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
y,?,y,n,n,n,y,y,y,n,y,n,n,n,y,y
n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y
y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?
y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,?
y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?
y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?
n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,?
y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?
?,?,n,n,?,y,?,n,n,n,y,y,n,y,n,?
y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?
y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y
y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y
y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y
n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n
n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?
n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
?,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n
y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y
n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y
y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y
n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?
y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y
y,n,y,n,?,n,y,y,y,y,n,y,n,?,y,y
n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y
n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y
